prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLE ALPI,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERO,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA (CO/LC/SO),LA PROVINCIA (CR),LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TEMPO,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,LEGGO,METRO,QUOTIDIANI AUDIPRESS
TORINO,Piemonte,2011,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,27,450,0,0,0,91,0,0,93,654
AOSTA,Aosta,112,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,8,0,0,0,41
VERCELLI,Piemonte,157,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,3,0,0,0,25
NOVARA,Piemonte,325,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,47,0,0,0,9,0,0,1,84
CUNEO,Piemonte,516,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,127,0,0,0,12,0,0,2,168
ASTI,Piemonte,193,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,39,0,0,0,6,0,0,3,56
ALESSANDRIA,Piemonte,386,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,77,0,0,0,4,0,0,1,93
BIELLA,Piemonte,162,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,23,0,0,0,4,0,0,0,42
VERBANIA,Piemonte,143,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,33,0,0,0,3,0,0,0,50
GENOVA,Liguria,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,189,0,0,13,0,0,0,0,0,0,0,260
LA SPEZIA,Liguria,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,6,42,0,0,0,0,0,0,0,0,0,0,91
IMPERIA,Liguria,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,48,0,0,57,0,0,0,0,0,0,0,88
SAVONA,Liguria,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,60,0,0,67,0,0,0,0,0,0,0,123
MILANO,Lombardia,2781,0,0,0,9,0,0,0,481,0,0,1,0,1,0,0,0,219,0,0,57,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,6,0,6,77,0,0,164,0,0,59,13,0,0,0,31,0,173,215,1029
VARESE,Lombardia,774,0,0,0,6,0,0,0,38,0,0,0,0,0,0,0,0,64,0,0,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,23,0,1,12,0,0,18,0,0,24,5,0,0,0,9,0,2,1,175
COMO,Lombardia,521,0,0,0,2,0,0,0,33,0,0,0,0,0,0,0,0,48,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,122,0,1,1,0,0,7,0,0,11,3,0,0,0,9,0,7,7,197
SONDRIO,Lombardia,159,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,17,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,40,0,0,20,0,0,6,0,0,3,0,0,0,0,3,0,0,0,72
BERGAMO,Lombardia,951,0,0,0,0,0,0,0,59,0,0,270,0,0,0,0,0,81,0,0,11,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,20,0,0,10,4,0,0,0,2,0,6,5,364
