prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA (CO/LC/SO),LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,LEGGO,METRO,QUOTIDIANI AUDIPRESS
TORINO,Piemonte,2004,0,0,0,0,0,0,20,41,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,32,438,0,0,106,0,0,100,643
AOSTA,Aosta,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,19,0,0,0,0,0,0,24
VERCELLI,Piemonte,155,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,23,0,0,3,0,0,0,30
NOVARA,Piemonte,324,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,50,0,0,6,0,0,0,80
CUNEO,Piemonte,515,0,0,0,0,0,0,12,5,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,6,112,0,0,18,0,0,1,161
ASTI,Piemonte,191,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,45,0,0,3,0,0,1,54
ALESSANDRIA,Piemonte,381,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,61,0,0,11,0,0,0,88
BIELLA,Piemonte,160,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,26,0,0,2,0,0,0,36
VERBANIA,Piemonte,142,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,25,0,0,3,0,0,0,37
GENOVA,Liguria,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,8,0,0,0,0,0,0,244
LA SPEZIA,Liguria,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,2,0,0,0,0,0,0,67
IMPERIA,Liguria,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,42,0,0,0,0,0,0,89
SAVONA,Liguria,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,65,0,0,0,0,0,0,123
MILANO,Lombardia,2804,0,0,0,22,0,0,360,0,0,2,19,0,0,0,0,210,0,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,78,0,0,137,0,0,58,0,0,0,22,0,173,175,918
VARESE,Lombardia,776,0,0,0,7,0,0,41,0,0,0,9,0,0,0,0,54,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,13,0,0,29,0,0,18,0,0,0,9,0,2,4,186
COMO,Lombardia,523,0,0,0,1,0,0,22,0,0,0,3,0,0,0,0,39,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,5,0,0,12,0,0,4,0,0,0,4,0,3,3,168
SONDRIO,Lombardia,159,0,0,0,1,0,0,11,0,0,0,1,0,0,0,0,19,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,17,0,0,3,0,0,3,0,0,0,4,0,0,0,73
BERGAMO,Lombardia,956,0,0,0,5,0,0,75,0,0,329,7,0,0,0,0,115,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,25,0,0,18,0,0,0,9,0,4,4,433
BRESCIA,Lombardia,1090,0,0,0,11,0,0,71,0,0,3,6,1,0,0,0,125,0,0,21,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,35,0,0,34,0,0,0,13,0,2,1,464
PAVIA,Lombardia,484,0,0,0,3,0,0,36,0,0,0,3,0,0,0,0,46,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,6,0,0,8,0,0,8,0,0,0,4,0,3,3,159
CREMONA,Lombardia,316,0,0,0,3,0,0,26,0,0,0,2,4,0,0,0,38,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,5,0,0,0,3,0,0,1,79
