prov	reg	POPOLAZIONE	L'ADIGE	ALTO ADIGE/TRENTINO	L'ARENA	AVVENIRE	IL CENTRO	CORRIERE ADRIATICO	CORRIERE DELLA SERA	CORRIERE DELLO SPORT - STADIO	CORRIERE DELL'UMBRIA VT RI SI AR	L'ECO DI BERGAMO	IL FATTO QUOTIDIANO	GAZZETTA DI MANTOVA	LA GAZZETTA DEL MEZZOGIORNO	GAZZETTA DI PARMA	GAZZETTA DI REGGIO	LA GAZZETTA DELLO SPORT	GAZZETTA DEL SUD	IL GAZZETTINO	IL GIORNALE	GIORNALE DI BRESCIA	GIORNALE DI SICILIA	IL GIORNALE DI VICENZA	LIBERTA'	IL MATTINO	IL MATTINO DI PADOVA	IL MESSAGGERO	MESSAGGERO VENETO	LA NUOVA FERRARA	NUOVA GAZZETTA DI MODENA/CARPI	LA NUOVA SARDEGNA	LA NUOVA DI VENEZIA E MESTRE	NUOVO QUOTIDIANO DI PUGLIA	IL PICCOLO	LA PROVINCIA PAVESE	QN IL GIORNO	QN LA NAZIONE	QN IL RESTO DEL CARLINO	LA REPUBBLICA	IL SECOLO XIX	LA SICILIA	IL SOLE 24 ORE	LA STAMPA	IL TIRRENO	LA TRIBUNA DI TREVISO	TUTTOSPORT	L'UNIONE SARDA	QUOTIDIANI AUDIPRESS
TORINO	Piemonte	2000	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	32	419	0	0	117	0	578
AOSTA	Aosta	111	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	17	0	0	1	0	21
VERCELLI	Piemonte	154	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	26	0	0	2	0	34
NOVARA	Piemonte	325	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	5	52	0	0	6	0	87
CUNEO	Piemonte	515	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	8	119	0	0	32	0	153
ASTI	Piemonte	191	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	41	0	0	8	0	53
ALESSANDRIA	Piemonte	380	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	64	0	0	11	0	105
BIELLA	Piemonte	159	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	19	0	0	3	0	30
VERBANIA	Piemonte	142	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	24	0	0	2	0	40
GENOVA	Liguria	756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	199	0	0	17	0	0	0	0	268
