prov	reg	POPOLAZIONE	L'ADIGE	ALTO ADIGE/TRENTINO	L'ARENA	AVVENIRE	IL CENTRO	CORRIERE ADRIATICO	CORRIERE DELLA SERA	CORRIERE DELLO SPORT - STADIO	CORRIERE DELL'UMBRIA VT RI SI AR	L'ECO DI BERGAMO	IL FATTO QUOTIDIANO	GAZZETTA DI MANTOVA	LA GAZZETTA DEL MEZZOGIORNO	GAZZETTA DI PARMA	GAZZETTA DI REGGIO	LA GAZZETTA DELLO SPORT	GAZZETTA DEL SUD	IL GAZZETTINO	IL GIORNALE	GIORNALE DI BRESCIA	GIORNALE DI SICILIA	IL GIORNALE DI VICENZA	LIBERO	LIBERTA'	IL MATTINO	IL MATTINO DI PADOVA	IL MESSAGGERO	MESSAGGERO VENETO	LA NUOVA FERRARA	NUOVA GAZZETTA DI MODENA/CARPI	LA NUOVA SARDEGNA	LA NUOVA DI VENEZIA E MESTRE	NUOVO QUOTIDIANO DI PUGLIA	IL PICCOLO	LA PROVINCIA PAVESE	QN IL GIORNO	QN LA NAZIONE	QN IL RESTO DEL CARLINO	LA REPUBBLICA	IL SECOLO XIX	LA SICILIA	IL SOLE 24 ORE	LA STAMPA	IL TIRRENO	LA TRIBUNA DI TREVISO	TUTTOSPORT	L'UNIONE SARDA	QUOTIDIANI AUDIPRESS
TORINO	Piemonte	1994	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	51	355	0	0	82	0	530
AOSTA	Aosta	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	20	0	0	2	0	26
VERCELLI	Piemonte	152	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	23	0	0	4	0	36
NOVARA	Piemonte	324	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	6	53	0	0	6	0	78
CUNEO	Piemonte	515	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	6	83	0	0	9	0	112
ASTI	Piemonte	190	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	33	0	0	8	0	46
ALESSANDRIA	Piemonte	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	39	0	0	3	0	54
BIELLA	Piemonte	157	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	21	0	0	2	0	26
VERBANIA	Piemonte	142	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	31	0	0	4	0	44
GENOVA	Liguria	751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	14	0	0	0	0	236
LA SPEZIA	Liguria	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	2	0	0	0	0	43
IMPERIA	Liguria	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	20	0	0	0	0	56
SAVONA	Liguria	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	41	0	0	0	0	76
MILANO	Lombardia	2873	0	0	0	38	0	0	366	0	0	1	33	1	0	0	0	160	0	0	33	4	0	0	26	0	0	0	0	0	0	0	0	0	0	0	5	93	0	0	104	0	0	61	23	0	0	24	0	759
VARESE	Lombardia	782	0	0	0	6	0	0	48	0	0	0	6	0	0	0	0	26	0	0	12	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	13	0	0	3	6	0	0	8	0	130
COMO	Lombardia	530	0	0	0	0	0	0	21	0	0	0	5	1	0	0	0	30	0	0	2	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	10	0	0	4	4	0	0	4	0	81
SONDRIO	Lombardia	159	0	0	0	0	0	0	11	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	4	0	0	7	0	0	0	2	0	29
BERGAMO	Lombardia	970	0	0	0	10	0	0	78	0	0	308	4	0	0	0	0	73	0	0	6	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	26	0	0	20	2	0	0	6	0	413
BRESCIA	Lombardia	1104	0	0	0	17	0	0	47	0	0	0	11	0	0	0	0	66	0	0	6	261	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	42	0	0	12	2	0	0	7	0	362
PAVIA	Lombardia	485	0	0	0	1	0	0	32	0	0	0	2	0	0	0	0	19	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	72	3	0	0	18	0	0	17	12	0	0	2	0	137
CREMONA	Lombardia	316	0	0	0	2	0	0	19	0	0	1	1	0	0	0	0	10	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	8	2	0	0	2	0	44
MANTOVA	Lombardia	361	0	0	0	2	0	0	11	0	0	0	2	114	0	0	0	15	0	0	9	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	9	0	0	0	0	0	140
LECCO	Lombardia	296	0	0	0	1	0	0	21	0	0	0	0	0	0	0	0	11	0	0	13	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	2	0	0	2	0	0	0	2	0	58
LODI	Lombardia	201	0	0	0	2	0	0	19	0	0	0	3	0	0	0	0	9	0	0	3	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	6	0	0	2	1	0	0	1	0	59
MONZA E DELLA BRIANZA	Lombardia	766	0	0	0	12	0	0	72	0	0	0	7	0	0	0	0	29	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	16	0	0	11	2	0	0	0	0	136
TRENTO	Trentino	472	102	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144
BOLZANO	Trentino	455	1	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90
