prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERO,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,QUOTIDIANI AUDIPRESS
TORINO,Piemonte,1994,0,0,0,0,0,0,39,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,23,295,0,0,48,0,434
AOSTA,Aosta,110,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,15,0,0,2,0,25
VERCELLI,Piemonte,152,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,19,0,0,2,0,29
NOVARA,Piemonte,324,0,0,0,0,0,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,40,0,0,6,0,68
CUNEO,Piemonte,515,0,0,0,0,0,0,11,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,13,91,0,0,13,0,139
ASTI,Piemonte,190,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,19,0,0,5,0,28
ALESSANDRIA,Piemonte,376,0,0,0,0,0,0,7,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,44,0,0,6,0,83
BIELLA,Piemonte,157,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,16,0,0,4,0,27
VERBANIA,Piemonte,142,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,21,0,0,3,0,31
GENOVA,Liguria,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,152,0,0,13,0,0,0,0,219
LA SPEZIA,Liguria,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0,0,1,0,0,0,0,61
IMPERIA,Liguria,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,25,0,0,0,0,51
SAVONA,Liguria,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,0,0,31,0,0,0,0,77
MILANO,Lombardia,2873,0,0,0,20,0,0,287,0,0,3,35,0,0,0,111,0,0,23,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,67,0,0,101,0,0,63,17,0,0,14,0,595
VARESE,Lombardia,782,0,0,0,3,0,0,42,0,0,0,7,0,0,0,29,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,12,0,0,10,1,0,0,5,0,107
COMO,Lombardia,530,0,0,0,4,0,0,30,0,0,0,5,0,0,0,15,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,10,0,0,15,1,0,0,5,0,85
SONDRIO,Lombardia,159,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,6,0,0,1,0,0,0,0,0,30
BERGAMO,Lombardia,970,0,0,0,4,0,0,42,0,0,251,5,0,0,0,52,0,0,6,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,17,0,0,16,4,0,0,4,0,319
BRESCIA,Lombardia,1104,0,0,0,6,0,0,40,0,0,4,8,7,0,0,82,0,0,5,245,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,14,14,0,0,11,0,343
PAVIA,Lombardia,485,0,0,0,5,0,0,32,0,0,0,2,0,0,0,19,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,70,5,0,0,11,0,0,7,10,0,0,3,0,125
CREMONA,Lombardia,316,0,0,0,4,0,0,18,0,0,0,1,1,0,0,15,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,6,2,0,0,7,0,47
MANTOVA,Lombardia,361,0,0,0,2,0,0,9,0,0,0,1,100,0,0,19,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,1,0,122
LECCO,Lombardia,296,0,0,0,6,0,0,25,0,0,0,1,0,0,0,8,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,6,1,0,0,3,0,51
LODI,Lombardia,201,0,0,0,2,0,0,20,0,0,0,1,0,0,0,7,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,2,1,0,0,0,0,40
MONZA E DELLA BRIANZA,Lombardia,766,0,0,0,4,0,0,63,0,0,1,9,0,0,0,40,0,0,12,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,33,0,0,17,0,0,19,4,0,0,2,0,163
TRENTO,Trentino,472,140,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172
BOLZANO,Trentino,455,2,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
VENEZIA,Veneto,756,0,0,0,0,0,0,26,0,0,0,0,0,0,0,28,0,114,0,0,0,2,0,0,0,4,0,0,0,0,0,80,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,208
