prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERO,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA (CO/LC/SO),LA PROVINCIA (CR),LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TEMPO,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,LEGGO,METRO,QUOTIDIANI AUDIPRESS
TORINO,Piemonte,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,44,429,0,0,0,80,0,0,85,639
AOSTA,Aosta,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,0,0,0,3,0,0,0,31
VERCELLI,Piemonte,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,34,0,0,0,4,0,0,0,47
NOVARA,Piemonte,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,52,0,0,0,4,0,0,0,75
CUNEO,Piemonte,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,131,0,0,0,12,0,0,0,169
ASTI,Piemonte,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,56,0,0,0,10,0,0,0,69
ALESSANDRIA,Piemonte,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,71,0,0,0,5,0,0,0,95
BIELLA,Piemonte,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,28,0,0,0,2,0,0,0,40
VERBANIA,Piemonte,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,31,0,0,0,3,0,0,0,49
GENOVA,Liguria,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,206,0,0,15,0,0,0,0,0,0,0,292
LA SPEZIA,Liguria,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,5,46,0,0,1,0,0,0,0,0,0,0,88
IMPERIA,Liguria,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,45,0,0,56,0,0,0,0,0,0,0,86
SAVONA,Liguria,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,50,0,0,70,0,0,0,0,0,0,0,112
MILANO,Lombardia,2781,0,0,0,22,0,0,476,0,0,0,0,0,0,0,0,230,0,0,57,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,4,0,5,87,0,0,164,0,0,51,6,0,0,0,34,0,174,212,1057
VARESE,Lombardia,774,0,0,0,13,0,0,31,0,0,0,0,1,0,0,0,52,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,25,0,0,4,0,0,18,0,0,10,1,0,0,0,4,0,4,2,140
COMO,Lombardia,521,0,0,0,4,0,0,30,0,0,0,0,0,0,0,0,40,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,135,0,0,5,0,0,10,0,0,8,1,0,0,0,2,0,5,5,205
SONDRIO,Lombardia,159,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,33,0,0,22,0,0,4,0,0,3,0,0,0,0,1,0,0,0,64
BERGAMO,Lombardia,951,0,0,0,4,0,0,75,0,0,280,0,0,0,0,0,87,0,0,11,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,20,0,0,13,5,0,0,0,6,0,8,4,380
