prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLE ALPI,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERO,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA (CO/LC/SO),LA PROVINCIA (CR),LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,LEGGO,METRO,QUOTIDIANI AUDIPRESS
TORINO,Piemonte,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,450,0,0,113,0,0,116,668
AOSTA,Aosta,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,0,0,0,23
VERCELLI,Piemonte,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,0,0,4,0,0,0,32
NOVARA,Piemonte,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,46,0,0,6,0,0,0,71
CUNEO,Piemonte,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,105,0,0,16,0,0,1,144
ASTI,Piemonte,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,38,0,0,4,0,0,1,48
ALESSANDRIA,Piemonte,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,56,0,0,9,0,0,0,86
BIELLA,Piemonte,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,0,4,0,0,0,32
VERBANIA,Piemonte,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,23,0,0,5,0,0,0,38
GENOVA,Liguria,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,1,0,0,0,0,0,0,186
LA SPEZIA,Liguria,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,85
IMPERIA,Liguria,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,40,0,0,0,0,0,0,89
SAVONA,Liguria,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,52,0,0,0,0,0,0,112
MILANO,Lombardia,2793,0,0,0,18,0,0,0,415,0,0,2,0,0,0,0,0,177,0,0,39,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,6,83,0,0,124,0,0,54,17,0,0,27,0,184,197,950
VARESE,Lombardia,775,0,0,0,4,0,0,0,44,0,0,0,0,0,0,0,0,46,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,1,0,9,0,0,22,0,0,24,5,0,0,4,0,0,0,164
COMO,Lombardia,522,0,0,0,2,0,0,0,35,0,0,0,0,0,0,0,0,34,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,108,0,0,5,0,0,18,0,0,13,0,0,0,10,0,7,2,177
SONDRIO,Lombardia,159,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,13,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0,0,18,0,0,4,0,0,0,1,0,0,6,0,0,0,64
BERGAMO,Lombardia,952,0,0,0,0,0,0,0,67,0,0,273,0,0,0,0,0,83,0,0,8,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,19,0,0,12,2,0,0,9,0,0,0,374
BRESCIA,Lombardia,1089,0,0,0,9,0,0,0,64,0,0,5,0,2,0,0,0,116,0,0,26,349,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,18,0,0,31,2,0,0,8,0,2,3,476
PAVIA,Lombardia,484,0,0,0,1,0,0,0,47,0,0,0,0,0,0,0,0,27,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,119,4,0,0,13,0,0,6,6,0,0,4,0,1,1,171
CREMONA,Lombardia,316,0,0,0,7,0,0,0,14,0,0,0,0,2,0,0,0,43,0,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,120,0,2,0,0,6,0,0,3,1,0,0,2,0,1,1,144
MANTOVA,Lombardia,360,0,0,0,4,0,0,0,22,0,0,0,0,161,0,0,0,52,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,11,0,0,11,13,0,0,3,0,0,0,200
LECCO,Lombardia,295,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,7,0,0,5,0,0,0,0,0,0,6,0,1,1,76
LODI,Lombardia,199,0,0,0,2,0,0,0,19,0,0,0,0,0,0,0,0,22,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,1,0,0,0,1,0,0,2,0,6,7,54
MONZA E DELLA BRIANZA,Lombardia,750,0,0,0,8,0,0,0,101,0,0,0,0,0,0,0,0,74,0,0,19,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,54,0,0,42,0,0,19,3,0,0,18,0,38,41,273
TRENTO,Trentino,464,172,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224
BOLZANO,Trentino,443,3,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134
VENEZIA,Veneto,753,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,50,0,146,0,0,0,1,0,0,0,7,0,0,0,0,0,108,0,0,0,0,0,0,0,0,65,0,0,9,0,0,3,0,0,0,0,273
VERONA,Veneto,799,0,0,199,0,0,0,0,33,0,0,0,0,0,0,0,0,60,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,5,0,0,1,0,0,0,0,266
VICENZA,Veneto,750,0,0,2,0,0,0,1,29,0,0,0,0,0,0,0,0,71,0,13,0,0,0,224,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,15,0,0,1,0,0,0,0,285
BELLUNO,Veneto,184,0,0,1,0,0,0,49,4,0,0,0,0,0,0,0,0,19,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,83
