prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,GAZZETTA DI MANTOVA,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERO,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,QUOTIDIANI AUDIPRESS
TORINO,Piemonte,1994,0,0,0,0,0,0,23,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,281,0,0,54,0,397
AOSTA,Aosta,110,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,3,0,23
VERCELLI,Piemonte,152,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,0,0,2,0,28
NOVARA,Piemonte,324,0,0,0,0,0,0,11,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,34,0,0,4,0,60
CUNEO,Piemonte,515,0,0,0,0,0,0,13,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,93,0,0,15,0,141
ASTI,Piemonte,190,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,3,0,26
ALESSANDRIA,Piemonte,376,0,0,0,0,0,0,7,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,40,0,0,6,0,72
BIELLA,Piemonte,157,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,21,0,0,4,0,30
VERBANIA,Piemonte,142,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,19,0,0,3,0,29
GENOVA,Liguria,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,10,0,0,0,0,173
LA SPEZIA,Liguria,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,43
IMPERIA,Liguria,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,20,0,0,0,0,43
SAVONA,Liguria,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,23,0,0,0,0,65
MILANO,Lombardia,2873,0,0,0,23,0,0,218,0,0,3,0,0,0,96,0,0,21,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,68,0,0,43,14,0,0,13,0,479
VARESE,Lombardia,782,0,0,0,2,0,0,55,0,0,0,0,0,0,43,0,0,15,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,12,0,0,14,4,0,0,5,0,126
COMO,Lombardia,530,0,0,0,3,0,0,23,0,0,0,0,0,0,18,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,2,2,0,0,3,0,66
SONDRIO,Lombardia,159,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,4,0,0,1,0,0,0,0,0,26
BERGAMO,Lombardia,970,0,0,0,3,0,0,34,0,0,207,0,0,0,60,0,0,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,22,0,0,12,4,0,0,3,0,280
BRESCIA,Lombardia,1104,0,0,0,6,0,0,37,0,0,2,5,0,0,86,0,0,6,207,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,13,14,0,0,10,0,295
PAVIA,Lombardia,485,0,0,0,2,0,0,27,0,0,0,0,0,0,22,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,75,6,0,0,10,0,0,9,7,0,0,6,0,122
CREMONA,Lombardia,316,0,0,0,3,0,0,15,0,0,0,1,0,0,15,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,0,0,0,4,0,43
MANTOVA,Lombardia,361,0,0,0,0,0,0,5,0,0,0,83,0,0,19,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,3,1,0,0,2,0,106
LECCO,Lombardia,296,0,0,0,5,0,0,15,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,2,1,0,0,3,0,36
