prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERO,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,QUOTIDIANI AUDIPRESS
TORINO,Piemonte,1968,0,0,0,0,0,0,31,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,254,0,0,54,0,386
AOSTA,Aosta,110,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,19,0,0,1,0,27
VERCELLI,Piemonte,149,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,23,0,0,1,0,28
NOVARA,Piemonte,320,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,26,0,0,1,0,47
CUNEO,Piemonte,511,0,0,0,0,0,0,11,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,83,0,0,13,0,119
ASTI,Piemonte,186,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,4,0,23
ALESSANDRIA,Piemonte,368,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,0,0,5,0,57
BIELLA,Piemonte,155,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,25,0,0,5,0,40
VERBANIA,Piemonte,139,0,0,0,0,0,0,7,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,18,0,0,1,0,34
GENOVA,Liguria,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,177
LA SPEZIA,Liguria,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,45
IMPERIA,Liguria,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,43
SAVONA,Liguria,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,63
MILANO,Lombardia,2846,0,0,0,18,0,0,218,0,0,5,17,1,0,0,96,0,0,17,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,52,0,0,66,0,0,45,15,0,0,23,0,497
VARESE,Lombardia,773,0,0,0,0,0,0,52,0,0,0,10,0,0,0,42,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,13,0,0,10,0,0,18,6,0,0,5,0,125
COMO,Lombardia,524,0,0,0,4,0,0,24,0,0,0,4,0,0,0,31,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,12,0,0,14,0,0,2,3,0,0,5,0,81
SONDRIO,Lombardia,158,0,0,0,1,0,0,5,0,0,0,1,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,1,0,0,0,0,0,22
BERGAMO,Lombardia,961,0,0,0,3,0,0,37,0,0,200,3,0,0,0,54,0,0,5,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,19,0,0,7,2,0,0,2,0,272
BRESCIA,Lombardia,1096,0,0,0,5,0,0,25,0,0,3,11,4,0,0,62,0,0,5,180,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,12,19,0,0,7,0,274
PAVIA,Lombardia,476,0,0,0,2,0,0,25,0,0,1,0,0,0,0,25,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,84,5,0,0,12,0,0,7,9,0,0,6,0,130
CREMONA,Lombardia,311,0,0,0,3,0,0,14,0,0,0,1,0,0,0,14,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,5,0,0,0,3,0,49
MANTOVA,Lombardia,357,0,0,0,2,0,0,8,0,0,0,1,85,0,0,14,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,5,2,0,0,2,0,114
LECCO,Lombardia,293,0,0,0,1,0,0,11,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,1,0,0,2,0,25
LODI,Lombardia,199,0,0,0,0,0,0,16,0,0,0,0,0,0,0,10,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,4,0,0,0,0,0,37
MONZA E DELLA BRIANZA,Lombardia,760,0,0,0,12,0,0,55,0,0,2,6,0,0,0,37,0,0,9,1,0,0,10,0,0,0,0,0,0,0,0,0,0,1,26,0,0,14,0,0,12,5,0,0,3,0,144
TRENTO,Trentino,472,118,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145
BOLZANO,Trentino,458,3,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
VENEZIA,Veneto,750,0,0,0,0,0,0,21,0,0,0,0,0,0,0,29,0,91,0,0,0,2,0,0,0,6,0,0,0,0,70,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,183
